p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
P. R. Natarajan,Shri P.R. Natarajan,#N/A,21-Dec-50,Tamil Nadu,Tamil Nadu,No,Coimbatore,Coimbatore,Communist Party of India (Marxist),M,"17,67,722",Lead Trade union organisation specially for unorganised labour. Work for agricultural labourers.,"Under Graduate  Educated at Madras University, Tamil Nadu",,"1 E, Annapoorna Layout, Sidhapudur,Coimbatore-641044 Tamil NaduTels. (0422) 2522325, 252218 9442102325(M)",,,"Vill. Coimbatore, Distt. Coimbatore ( Tamil Nadu)",,"17,67,722 17 L",,Communist Party of India (Marxist),Organisational work
Gopinathrao Pandurang Munde,Shri Gopinath Pandurang Munde,12/12/49,12-Dec-49,Maharashtra,Maharashtra,https://twitter.com/GopinathMunde1,Beed,Beed,Bharatiya Janata Party,M,"6,22,50,603",,"B.Com., B.G.L.   Educated at Marathwada and Pune University, Maharashtra",,"Yashshree Valabh NagarParli - Vaijnath, Distt. Beed, Maharashtra Tels. (024) 46222054, 0987051444(M) Fax: (024) 46222334",,,"Vill. Nathra, Beed (Maharashtra)",,"6,22,50,603 6",,Bharatiya Janata Party,
Bhaskarrao Bapurao Khatgaonkar,Shri Bhaskarrao Bapurao Patil,23/07/1944,23-Jul-44,Maharashtra,Maharashtra,No,Nanded,Nanded,Indian National Congress,M,"6,24,16,000","Worked for the welfare of the poor farmers and agricultural labourers in the rural areas of Nanded district, providing facilities of drinking water, construction of link-roads, electricity,specially in Dalit basti area of Nanded, implementation of Govt. schemes regarding  Sanjay Gandhi Niradhar Yojana and Shetakari Pension Yojana in Biloli Taluka of Nanded","B.E. (Mech.)  Educated at Osmania University,Hyderabad, Andhra Pradesh","France, Japan, Singapore, Thailand, U.K. & U.S.A","At/P.O.-Khatgaon, Taluka-BiloliDistt. Nanded, MaharashtraTel. (02462) 255111  Fax.(02462) 255555",,,"Vill. Khatgaon,Nanded(Maharashtra)",Agriculturist                                               Engineer                                                    Political and Social Worker                                 Industrialist,"6,24,16,000 6",,Indian National Congress,"Upliftment of agricultural labourers, dry land farmers, rural development, water conservation programme,welfare of the people belonging to below Poverty Line in rural areas of Nanded"
Ratna De (Nag),Dr. (Smt.) Ratna De(Nag),9/6/48,6-Sep-48,West Bengal,West Bengal,No,Hooghly,Hooghly,All India Trinamool Congress,F,"87,30,448",Attended (i) Kumbh & other melas as Medical Officer; and (ii) post-Tsunami medical camp in Tamil Nadu,"M.B.B.S., D.C.H.   Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University, Kolkata, West Bengal",South Africa and Tanzania,"Block-O, Flat-4, Manicktala, Housing EstateVIP Road, Kolkata - 700 054, West BengalTel. (033) 23550445, 09830131093 (M)",,,"Serampore, Distt. Hooghly (West Bengal)",,"87,30,448 87 L",,All India Trinamool Congress,Women & child development; women empowerment; medical check up of downtrodden people; communal harmony and cultural programmes
Radha Mohan Singh,Shri Radha Mohan Singh,9/1/49,1-Sep-49,Bihar,Bihar,No,Purvi Champaran,Purvi Champaran,Bharatiya Janata Party,M,"76,29,444","<I>President</I>(i)Vaidyanath Seva Trust(ii) Rickshaw Chalak Kalyan Samiti, Motihari, Bihar; and (iii)Pandit Din Dayal Upadhayay Smriti Nyas","B.A.          Educated at M.S. College, Bihar University, Motihari, Bihar ","England, France, Malaysia, New Zealand, Scottland, Singapore and Thailand","Gandhi Complex, Station Road, Motihari,Distt. East Champaran  - 845 401, BiharTels. (06252) 241210, 09431233001 (M), 9431815551 (M)",,District President - Association of Bihar Cricket; Ex-State Vice President - Association of Bihar Cricket,"Narha Panapur, Distt. East Champaran (Bihar)",,"76,29,444",,Bharatiya Janata Party,"Rural welfare, working especially for SC, ST and the downtrodden; Member, Rashtriya Swayam Sevak Sangh since childhood "
Vijay Inder Singla,Shri Vijay Inder Singla,12/1/71,1-Dec-71,Punjab,Punjab,https://twitter.com/MPSangrur,Sangrur,Sangrur,Indian National Congress,M,"3,47,77,862",Helping the poor through medical camps & other general camps; special initiative for upliftment of the underprivileged children,"B.E. (Computer Science)   Educated at B.M.S. College of Engineering, Bangalore, Karnataka","Australia, Brazil, European Countries, Pakistan, Singapore, and U.S.A","Singla Niwas, Haripura RoadSangrur - 148 001, PunjabTel. (01672) 240240",,"Cricket, Horse riding, <I>Member</I> (i) Sutlej Club, Ludhiana; (ii)Punjab Cricket Club, Mohali; (iii) Chandigarh Golf Club",Vill. Ludhiana ( Punjab),,"3,47,77,862 3",,Indian National Congress,Theatre
Rajaram Pal,Shri Raja Ram Pal,20/11/1960,20-Nov-60,Uttar Pradesh,Uttar Pradesh,No,Akbarpur,Akbarpur,Indian National Congress,M,"44,00,000",Working for the lakhs and crores of deprived and downtrodden people,"B.A., LL.B  Educated at D.A.V. College, Kanpur, Uttar Pradesh",,"Vill.Siroh, P.O. Padri Lal Pur,Teh. Ghatam Pur, Kanpur Uttar PradeshTels. (0512) 2285699, 09451422899",,Morning walk,"Siroh, Distt.  Kanpur (Uttar Pradesh)",,"44,00,000 44 L",,Indian National Congress,Helping the deprived and downtrodden.
Tarun Mondal,Dr. Tarun Mandal,#N/A,20-Jan-59,West Bengal,West Bengal,No,Jaynagar,Joynagar,Independent,M,"18,56,636","(i)Recitation; (ii) mass songs; (iii) participation in plays as actor; (iv)speech on socio-political-cultural issues and on life, works of renaissance personalities, freedom fighters, medical scientists; and (v)organised and participated in language, health  and education movements","M.B.B.S., P.G.C.C.H.M.  Educated at Medical College, Calcutta University and National Institute  of Health & Family Welfare, New Delhi",,"22/1/3, Lakshi Narayan Tala Road, Botanical GardensHowrah - 711 103  West BengalTels. (033) 26684184, 26687597, 9434097888 (M) Fax. (033) 26685451",,"Participated and represented college football and cricket teams; sports like sprint, long jump and high jump; free hand exercises and walking","Pomia, Distt. Murshidabad (West Bengal)",Medical Practitioner                                        Social Worker                                               Educationist                                                Cultural activist,"18,56,636",,Socialist Unity Centre of India,"(i) Eradication of poverty, illiteracy, ill health, food crisis, housing problems, drinking water crisis of Indian population;  (ii)facilitate people`s movement towards change over of present society to a exploitation free socialist society; and (iii) study literature of Shibdas Ghosh, founder of Socialist Unity Centre of India (SUCI) and Marxian classics"
Adhir Ranjan Chowdhury,Shri Adhir Ranjan Chowdhury,4/2/56,2-Apr-56,West Bengal,West Bengal,No,Baharampur,Baharampur,Indian National Congress,M,"2,99,43,557","Initiator of health, family welfare blood donation,eye care camps in Murshidabad, Nadia, Malda and Birbhum Districts in West Bengal. Mastermind who singlehandedly  transformed the district of Murshidabad by promoting harmony among people, making lives safe and secure, improvement of road conditions, provisioning of safe drinking water and sanitation, modern waste management and grossly devoted towards transforming people through good governance  for changing lives for betterment.","Intermediate Educated at I.C. Institute, Baharampur,West Bengal","Bhutan, Malaysia, Mauritius, Nepal, Singapore, South Africa, Taiwan and U.S.A. ","26/1/A Sahid Surya Sen Road, Gonbazar, BaharampurDistt. Murshidabad West Bengal",,Cricket and Football ,"Berhampore, Distt. Murshidabad (West Bengal)",,"2,99,43,557 2",,Indian National Congress,
G. V. Harsha Kumar,Shri G.V. Harsha Kumar,6/9/59,9-Jun-59,Andhra Pradesh,Andhra Pradesh,https://twitter.com/Harsha1gvk,Amalapuram,Amalapuram,Indian National Congress,M,"70,89,000","Committed social worker from early days; Actively participated in rescue operations during the ""Deviseema cyclone"" - (Tidal Wave effect in Krishna Distt. in 1977) and Godavari Floods in 1986; Founder Chairman for Peace Educational Foundation Society since 1990; Promoted free education to the needy poor by starting (i) Rajiv Gandhi Degree College in 1991; and (ii) Fashion Technology Institute in Andhra Pradesh; (iii) Organised youth festival in Andhra University in 1993-94; (iv) In 2006 conducted Konaseema Festival in promotion of Tourism; (v) In 2007 conducted Youth Festival on behalf of Andhra University; (vi) Organized Mega Health Camp - 2008 and Bharath Nirman and provided Health kits and spectacles for the needy poor referred cases to Government Area Hospital, Amalapuram","M.Sc. (Marine Geology)  Educated at  Andhra University, Waljair, Andhra Pradesh","Canada, Isreal, Russia, Singapore, Sweden, Turkey, U.A.E. and U.S.A.","(i) 23-1-14/3, Lal Bahadur Shastri Road, East Godavari District,Rajahmundry - 533 105, Andhra PradeshTels. (0883) 2461941, 9440176777 (M)  Fax. (0883) 2474899",,Life member for constitution club,"Rajahmundry, Distt. East Godavari (Andhra Pradesh)",,"70,89,000 70 L",,Indian National Congress,"Playing and watching cricket with my sons, spending leisure time with pets; Promoting enonomic empowerment in dalityouth for upliftment of the community"
Sanjay Singh Chauhan,Shri Sanjay Singh Chauhan,#N/A,10-Oct-61,Uttar Pradesh,Uttar Pradesh,No,Bijnor,Bijnor,Rashtriya Lok Dal,M,"3,53,52,625",,"B.A., LL.B. Educated at S.D. Degree College and D.A.V. Degree College,Muzaffar Nagar,  Ch. Charan Singh University, Meerut",Switzerland,"188, Civil Lines SouthMuzaffarnagar, Uttar PradeshTel. (0129) 2623003, 09412212040(M)",,"Football, Badminton and  Hockey; represented college team in Meerut Univeristy as a cricket player.",Muzaffar Nagar (Uttar Pradesh),,"3,53,52,625 3",,Rashtriya Lok Dal,
Amarnath Pradhan,Shri Amarnath Pradhan,5/11/58,11-May-58,Orissa,Odisha,No,Sambalpur,Sambalpur,Indian National Congress,M,"39,25,000",Leading movements of students/farmers,"B.A.  Educated at Utkal University, Bhubaneswar, Orissa","Nepal, U.A.E. & UK","N - 2/49, IRC Village,Bhubaneshwar - 751 015, OrissaTels (0674) 2556081, 9437064490 (M) Fax. (0674) 2555723",,"(i) President, Orissa Cricket Association 1996-2000; (ii) Vice-President, Orissa Scouts & Guides; and (iii) Member, Bhubaneswar Club Orissa","Angul, Orissa",,"39,25,000 39 L",,Indian National Congress,Sports
Sukhdev Singh Libra,Shri Sukhdev Singh Libra,11/7/32,7-Nov-32,Punjab,Punjab,No,Fatehgarh Sahib,Fatehgarh Sahib,Indian National Congress,M,"1,70,83,247",,"Matriculate  Educated at Shri Guru Govind Singh High School,   Khanna, Distt.  Ludhiana, Punjab","Pakistan, Taiwan and U.S.A.","Vill. & P.O. Libra, Tehsil Khanna,District - Ludhiana,  PunjabTel. (01628) 230239",,,"Village Libra, Distt. Ludhiana (Punjab)",,"1,70,83,247",,Indian National Congress,Listening to religious preachings by Gurus (Gurubani)
Nripendra Nath Roy,Shri Nripendra Nath Roy,#N/A,21-Mar-59,West Bengal,West Bengal,No,Cooch Behar,Cooch Behar,All India Forward Bloc,M,"11,33,170",,"B.A. Educated at Dinhata College, Distt-Cooch Behar, West Bengal",,"Village-Kayaterbari, P.O.-Sitai Hat,Distt. Cooch Behar, West Bengal - 736167Tels. (03583) 245322, 09933420524 (M) Fax. (03583) 245333",,Football,"Vili. Kayaterbari, Cooch Behar (West Bengal)",,"11,33,170",,All India Forward Bloc,Politics
Badri Ram Jakhar,Shri Badri Ram Jakhar,9/9/52,9-Sep-52,Rajasthan,Rajasthan,No,Pali,Pali,Indian National Congress,M,"6,02,43,814",,Under Matriculate,,"B - 6, Shramikpura, Masuriya,Jodhpur, RajasthanTels. (0291) 2633970, 09414117000 (M)  Fax: (0291) 2431761",,,"Rajlani Bhopalgarh, Distt. Jodhpur (Rajasthan)",,"6,02,43,814 6",,Indian National Congress,
P. C. Mohan,Shri P. C. Mohan,24/07/1963,24-Jul-63,Karnataka,Karnataka,No,Bangalore Central,Bangalore Central,Bharatiya Janata Party,M,"5,37,29,000",,"Intermediate Educated at Vijiya College, Banglore, Karnataka",,"1928, 30th Cross, 12th Main, Banashankari 2nd StageBangluru - 560 070, KarnatakaTels. (080) 22865454, 22865656 (O) 26760450 (R), 09845003600 (M) Fax. (080) 22271985",,,Bangalore (Karnataka),,"5,37,29,000",,Bharatiya Janata Party,
Ram Singh Kaswan,Shri Ram Singh Kaswan,#N/A,10-Aug-45,Rajasthan,Rajasthan,No,Churu,Churu,Bharatiya Janata Party,M,"2,74,03,097",Worked extensively for resolving problems of development in both rural and urban   areas ,"B.A., LL.B.  Educated at Doonger College, Bikaner and Rajasthan University,                                             Jaipur,Rajasthan ",Malaysia and Singapore,"Deep Niwas, Sadulpur,Distt. Churu - 331 023, RajasthanTels.(01559)224800,224902,  9414421800 (M), 09413364800 (M)",,,"Kalri, Distt. Churu (Rajasthan)",,"2,74,03,097 2",,Bharatiya Janata Party,Farming
Marotrao Sainuji Kowase,Shri Marotrao Sainuji Kowase,11/3/49,3-Nov-49,Maharashtra,Maharashtra,No,Gadchiroli-Chimur,Gadchiroli-Chimur,Indian National Congress,M,"1,07,76,756",Established two education societies in Gadchiroli to develop social and cultural activities.,"M.A.(Political Science) Educated at Nagpur University, Maharashtra",,"Ramnagar, Gadchiroli Mohalla P.O. GadchiroliDistt.Gadchiroli, MaharashtraTels. (07132) 232967, 09422150772 Fax. (07132) 232336, 232888 (O)",,"Kho-Kho, Volley ball and badminton","Bhadbhidi, Distt. Gadchiroli (Maharashtra)",,"1,07,76,756",,Indian National Congress,All around development of the area
E. T. Muhammed Basheer,Shri E. T. Mohammed Basheer,#N/A,1-Jul-46,Kerala,Kerala,https://twitter.com/ET_MohdBasheer,Ponnani,Ponnani,Indian Union  Muslim League,M,"6,05,855",,Higher Secondary,Widely travelled,"P.O. Soumyam,  Cheruvayoor,Malappuram Distt.- 673 645 KeralaTel. (0483) 2725278",,,"Vill.Mapram,Malappuram(Kerala)",,"6,05,855 6 Lacs",,Muslim League Kerala State Committee,
Kapil Muni Karwariya,Shri Kapil Muni Karwariya,3/2/67,2-Mar-67,Uttar Pradesh,Uttar Pradesh,No,Phulpur,Phulpur,Bahujan Samaj Party,M,0,"Started as President, Shri Patharchatti Ramlila Committee Audio-Visual techniques  in its stage  performances; and construction of Historical Navgrah Temple in the premises of Committee","B.A., LL.B.   Educated at Allahabad University and Lucknow University, Uttar Pradesh",,"1203, Ahiyapur, Malviya Nagar,Allahabad- 211 003  Uttar Pradesh Telefax. (0532) 2240804, 09415215456 (M)",,Organised All India Late Shri Vashishtha Narayan Karwari Memorial Cricket Tournament in which players of international level participated,"Vil. Chakthama, Distt, Kaushambi (Uttar Pradesh)",,0,,Bahujan Samaj Party,Promotion of National and regional sports
Ananthkumar Hegde,Shri Anant Kumar Dattatreya Hegde,20/05/1968,20-May-68,Karnataka,Karnataka,No,Uttara Kannada,Uttara Kannada,Bharatiya Janata Party,M,"64,27,192","<I>Founder President</I> of Kadamba,  a national level NGO working in the field of rural development, rural health, formation of  self-help groups, rural marketing   and other rural welfare programmes, social services etc.","Intermediate Educated  at  M.M. Arts and Science College, Sirsi(Karnataka)","Austria, Germany, Malaysia, Poland and Sri Lanka","No. 17, KHB Colony, Sirsi,North Kanara - 581 401 KarnatakaTels. (08384) 234337, 225248  Fax: (08384) 2223353",,Tae-kwon-do (Korean Martial Arts),"Sirsi, Distt. Uttara Kannada (Karnataka)",,"64,27,192",,Bharatiya Janata Party,Reading and studying of books
Mukul Balkrishna Wasnik,Shri Mukul Balkrishna Wasnik,27/09/1959,27-Sep-59,Maharashtra,Maharashtra,No,Ramtek,Ramtek,Indian National Congress,M,"31,11,932",,"M.A., M.B.A.  Educated at Hislop College and Department of Business Management, Nagpur University, Nagpur,Maharashtra","Widely travelled; attended 12th World Festival of Youth andStudents, Moscow, 1985; Member, Delegation to the UnitedNations 42nd General Assembly Session, 1987; and 10thAnniversary Celebrations of Sandinista Front, Nicaragua,1987; Leader (i) Indian Delegation to the 13th WorldFestival of Youth and Students at Pyongyong, D.P.R. Korea;and (ii) Youth Delegation to the Closing Ceremony of theFestival of India in USSR, 1987; attended (i) the inauguralfunction of the Festival of India in U.S.S.R., 1987; and(ii) Conservative Party Annual Conference, U.K., 1988","365, Gandhi Nagar,Nagpur - 440 010  Maharashtra Tel. (0712) 2242197",,Cricket and athletics,New Delhi,,"31,11,932 31 L",,Indian National Congress,"Agriculture, law, industry, labour, education and upliftmentof the Scheduled Castes and Scheduled Tribes"
Premdas,Shri Premdas Katheria,1/10/65,10-Jan-65,Uttar Pradesh,Uttar Pradesh,No,Etawah,Etawah,Samajwadi Party,M,"42,28,828",,"B.Ed.  Educated at Kanpur University, Kanpur, Uttar Pradesh","Bangkok, Denmark, Germany and Sweden","Panchavali Chauraha, Friends Colony, Etawah, Village+P.O. - BijauliDistt. - Etawah, Uttar PradeshTels. (05688) 265540",,,"Vijoli, Itawah, (Uttar Pradesh)",,"42,28,828 42 L",,Samajwadi Party,Social work and  music
Jagdish Thakor,Shri Jagdish Thakor,7/1/57,1-Jul-57,Gujarat,Gujarat,https://twitter.com/jagdishthakormp,Patan,Patan,Indian National Congress,M,"50,44,198",Working for welfare of backward people of society and education and employment to youth; organising group marriages; helping setting up of educational institutions; encouraging illiterate women to be literate and come in mainstream of society,"Matriculate  Educated at N.S. Vidyalaya, Naroda, Gujarat",South Korea,"Gangaba Bhawan, Vill- Changa, Tal. Kankraj, Distt. Banaskanth, GujaratTel. (0792) 2282151",,,"Vill. Naroda, Ahemdabad (Gujarat)",,"50,44,198 50 L",,Indian National Congress,
